License_No,Driver_NID,Issue_Date,Validity_Date,Type,Div_ID
1399046713,9181144644,02-Sep-2008,"ADD_MONTHS(02-Sep-2008, 120 )",Medium,16
5980965947,2942770740,07-Oct-1994,"ADD_MONTHS(07-Oct-1994, 120 )",Light,54
6222327214,1599702347,13-May-1989,"ADD_MONTHS(13-May-1989, 120 )",Light,59
6431191013,7585383800,06-Jul-2014,"ADD_MONTHS(06-Jul-2014, 120 )",Motor Cycle,79
8593637663,1879826038,17-Nov-2011,"ADD_MONTHS(17-Nov-2011, 120 )",Light,40
2158581425,2990900160,01-Jul-1975,"ADD_MONTHS(01-Jul-1975, 120 )",Light,39
9695996876,3121110993,17-Jul-1986,"ADD_MONTHS(17-Jul-1986, 120 )",Light,40
9717006504,6104739318,24-Jul-1982,"ADD_MONTHS(24-Jul-1982, 120 )",Light,62
1676435484,8267874321,15-May-1979,"ADD_MONTHS(15-May-1979, 120 )",Motor Cycle,28
2582289248,2618674057,23-Dec-1975,"ADD_MONTHS(23-Dec-1975, 120 )",Motor Cycle,53
8741688864,9911287327,17-Nov-1974,"ADD_MONTHS(17-Nov-1974, 120 )",Heavy,82
8059618229,6638936638,28-Aug-2003,"ADD_MONTHS(28-Aug-2003, 120 )",Medium,82
2148151851,8654329556,26-Feb-1970,"ADD_MONTHS(26-Feb-1970, 120 )",Heavy,67
9024438918,6315949835,01-Jan-2007,"ADD_MONTHS(01-Jan-2007, 120 )",Light,23
5510474203,2631109082,12-Jan-1987,"ADD_MONTHS(12-Jan-1987, 120 )",Medium,88
0451900405,3183494124,23-Dec-2004,"ADD_MONTHS(23-Dec-2004, 120 )",Medium,78
9051009135,5733447362,05-Jan-1994,"ADD_MONTHS(05-Jan-1994, 120 )",Motor Cycle,57
8039276314,5743677670,27-May-1979,"ADD_MONTHS(27-May-1979, 120 )",Light,60
4600082818,4415801420,01-Apr-2008,"ADD_MONTHS(01-Apr-2008, 120 )",Light,23
8286573536,3324828473,08-Jan-2011,"ADD_MONTHS(08-Jan-2011, 120 )",Motor Cycle,5
6137351173,2362441911,22-Oct-1987,"ADD_MONTHS(22-Oct-1987, 120 )",Heavy,29
8865897562,9074765939,02-May-2014,"ADD_MONTHS(02-May-2014, 120 )",Light,7
2891669509,0823365727,30-Jul-1989,"ADD_MONTHS(30-Jul-1989, 120 )",Light,59
6455910427,9245214354,11-Apr-2010,"ADD_MONTHS(11-Apr-2010, 120 )",Heavy,80
3649643383,3613212625,10-Aug-2001,"ADD_MONTHS(10-Aug-2001, 120 )",Heavy,32
9874371021,5214258526,07-Mar-1977,"ADD_MONTHS(07-Mar-1977, 120 )",Motor Cycle,61
2613371102,6842583675,18-Oct-2001,"ADD_MONTHS(18-Oct-2001, 120 )",Heavy,56
2135497126,2976288283,24-Aug-1978,"ADD_MONTHS(24-Aug-1978, 120 )",Motor Cycle,46
0289959268,0668715200,18-Jun-1994,"ADD_MONTHS(18-Jun-1994, 120 )",Light,12
4049416077,7075731424,31-Aug-2012,"ADD_MONTHS(31-Aug-2012, 120 )",Motor Cycle,27
4658493454,0543904903,12-Jul-2016,"ADD_MONTHS(12-Jul-2016, 120 )",Heavy,63
3483994319,5812733473,05-Sep-1981,"ADD_MONTHS(05-Sep-1981, 120 )",Light,1
1440886164,4220064524,12-Jun-2010,"ADD_MONTHS(12-Jun-2010, 120 )",Light,61
2047242142,5812136270,21-Nov-1998,"ADD_MONTHS(21-Nov-1998, 120 )",Medium,40
4025893878,1382673167,17-Sep-2016,"ADD_MONTHS(17-Sep-2016, 120 )",Motor Cycle,36
0667605061,4174493510,13-Aug-1990,"ADD_MONTHS(13-Aug-1990, 120 )",Heavy,44
7803571786,6762557902,25-May-1986,"ADD_MONTHS(25-May-1986, 120 )",Light,31
3154056157,5646757444,09-May-2012,"ADD_MONTHS(09-May-2012, 120 )",Medium,31
1548165182,6897242284,07-Mar-1982,"ADD_MONTHS(07-Mar-1982, 120 )",Light,91
3380082244,3983798020,31-Jul-1978,"ADD_MONTHS(31-Jul-1978, 120 )",Heavy,57
6617495136,7798704310,02-Jan-1984,"ADD_MONTHS(02-Jan-1984, 120 )",Motor Cycle,44
2200657552,2780073977,08-May-1970,"ADD_MONTHS(08-May-1970, 120 )",Medium,45
3459848286,6300639568,22-Dec-2015,"ADD_MONTHS(22-Dec-2015, 120 )",Light,70
8478285415,4802399448,16-Apr-1995,"ADD_MONTHS(16-Apr-1995, 120 )",Heavy,75
7281159110,0625975146,27-Apr-1970,"ADD_MONTHS(27-Apr-1970, 120 )",Medium,22
4280383162,6446913176,14-Dec-1996,"ADD_MONTHS(14-Dec-1996, 120 )",Motor Cycle,96
2474184465,5416048077,13-Oct-1994,"ADD_MONTHS(13-Oct-1994, 120 )",Light,50
2456727975,0975720503,16-Jun-2013,"ADD_MONTHS(16-Jun-2013, 120 )",Heavy,53
8423363740,7681502939,13-May-1987,"ADD_MONTHS(13-May-1987, 120 )",Heavy,40
3397168910,5730633033,04-Feb-1988,"ADD_MONTHS(04-Feb-1988, 120 )",Motor Cycle,55
6386239415,4009236183,26-Sep-1999,"ADD_MONTHS(26-Sep-1999, 120 )",Motor Cycle,49
6202264063,4412908488,07-Aug-2008,"ADD_MONTHS(07-Aug-2008, 120 )",Heavy,4
7676299942,0976512521,02-Nov-1982,"ADD_MONTHS(02-Nov-1982, 120 )",Medium,59
3420278861,8341274183,13-May-1978,"ADD_MONTHS(13-May-1978, 120 )",Heavy,7
4567368193,8332176271,20-Mar-2017,"ADD_MONTHS(20-Mar-2017, 120 )",Heavy,60
0750856122,0382389352,16-Jan-1998,"ADD_MONTHS(16-Jan-1998, 120 )",Medium,55
9229851205,0898654742,05-Feb-1980,"ADD_MONTHS(05-Feb-1980, 120 )",Light,33
4916373979,9390880173,24-Jul-2010,"ADD_MONTHS(24-Jul-2010, 120 )",Heavy,73
8902947165,6566483357,21-Aug-2005,"ADD_MONTHS(21-Aug-2005, 120 )",Light,93
8826570779,9217570265,08-Mar-2013,"ADD_MONTHS(08-Mar-2013, 120 )",Light,60
1897289286,6274342400,12-Sep-2012,"ADD_MONTHS(12-Sep-2012, 120 )",Motor Cycle,57
8960339458,9560600451,31-May-1974,"ADD_MONTHS(31-May-1974, 120 )",Heavy,35
3495750894,9854703649,06-Jul-2017,"ADD_MONTHS(06-Jul-2017, 120 )",Light,95
1087866901,8126425989,17-Jun-2008,"ADD_MONTHS(17-Jun-2008, 120 )",Light,64
0599458968,1366697669,22-Jan-1974,"ADD_MONTHS(22-Jan-1974, 120 )",Motor Cycle,77
2524787605,3996016328,12-Nov-1973,"ADD_MONTHS(12-Nov-1973, 120 )",Medium,27
2588961223,0607829060,20-Oct-2006,"ADD_MONTHS(20-Oct-2006, 120 )",Medium,22
6180597650,0366892045,01-Jul-1972,"ADD_MONTHS(01-Jul-1972, 120 )",Light,18
0588119261,9615251429,10-Oct-1978,"ADD_MONTHS(10-Oct-1978, 120 )",Medium,54
7255900240,3825946983,08-Apr-1985,"ADD_MONTHS(08-Apr-1985, 120 )",Motor Cycle,21
3767286408,0851773672,19-May-2002,"ADD_MONTHS(19-May-2002, 120 )",Motor Cycle,38
0749084782,0806069759,12-Oct-2012,"ADD_MONTHS(12-Oct-2012, 120 )",Light,71
1741566525,9255211099,19-May-2000,"ADD_MONTHS(19-May-2000, 120 )",Medium,59
4846736156,1844358364,17-Oct-1998,"ADD_MONTHS(17-Oct-1998, 120 )",Heavy,45
6721260530,4786352403,22-Dec-1979,"ADD_MONTHS(22-Dec-1979, 120 )",Motor Cycle,94
3011498121,1087053447,10-Oct-2006,"ADD_MONTHS(10-Oct-2006, 120 )",Motor Cycle,51
2364668077,3264551497,05-Jul-1996,"ADD_MONTHS(05-Jul-1996, 120 )",Medium,30
4388144622,9670348145,02-Nov-2014,"ADD_MONTHS(02-Nov-2014, 120 )",Motor Cycle,20
6257601053,5844618297,03-Dec-1999,"ADD_MONTHS(03-Dec-1999, 120 )",Heavy,67
3715246782,6737909337,11-Aug-2001,"ADD_MONTHS(11-Aug-2001, 120 )",Heavy,6
5724592363,8316056496,19-Jul-1993,"ADD_MONTHS(19-Jul-1993, 120 )",Medium,89
3950343636,0944938027,21-Mar-1979,"ADD_MONTHS(21-Mar-1979, 120 )",Heavy,56
4513987375,3918688941,05-May-1974,"ADD_MONTHS(05-May-1974, 120 )",Medium,65
7076022265,8348410422,01-Aug-2017,"ADD_MONTHS(01-Aug-2017, 120 )",Medium,12
3041424002,2523502577,07-Jun-2006,"ADD_MONTHS(07-Jun-2006, 120 )",Motor Cycle,16
3545222136,5974178165,15-Apr-1970,"ADD_MONTHS(15-Apr-1970, 120 )",Light,7
4911812524,2083864875,23-Dec-2004,"ADD_MONTHS(23-Dec-2004, 120 )",Motor Cycle,23
1271403579,1723922145,26-Feb-1991,"ADD_MONTHS(26-Feb-1991, 120 )",Medium,14
2205901524,4756886809,24-Aug-1990,"ADD_MONTHS(24-Aug-1990, 120 )",Light,76
8060983962,2249414203,10-Jan-2001,"ADD_MONTHS(10-Jan-2001, 120 )",Light,87
4672217051,2634611331,23-Feb-1978,"ADD_MONTHS(23-Feb-1978, 120 )",Medium,44
2572262037,4731162610,31-Oct-1971,"ADD_MONTHS(31-Oct-1971, 120 )",Motor Cycle,99
4126838775,1225100038,18-Feb-1997,"ADD_MONTHS(18-Feb-1997, 120 )",Heavy,74
9560710907,2258788285,21-Apr-1991,"ADD_MONTHS(21-Apr-1991, 120 )",Medium,81
0992641535,9194871345,28-Jun-1974,"ADD_MONTHS(28-Jun-1974, 120 )",Heavy,30
0911946071,8266752559,08-Jun-1997,"ADD_MONTHS(08-Jun-1997, 120 )",Light,90
1716808103,0647835517,24-Apr-2008,"ADD_MONTHS(24-Apr-2008, 120 )",Motor Cycle,57
3036296069,8911866539,22-May-2000,"ADD_MONTHS(22-May-2000, 120 )",Heavy,62
0560258860,5001036984,24-Apr-1998,"ADD_MONTHS(24-Apr-1998, 120 )",Motor Cycle,47
6443568281,0518578852,13-Sep-2016,"ADD_MONTHS(13-Sep-2016, 120 )",Light,82
7946072082,8762684698,20-Jun-2008,"ADD_MONTHS(20-Jun-2008, 120 )",Light,76
3209700842,9423114520,04-Jun-1997,"ADD_MONTHS(04-Jun-1997, 120 )",Light,92
9523498088,0226116891,17-Aug-1986,"ADD_MONTHS(17-Aug-1986, 120 )",Medium,27
5275876769,5643393085,12-Jul-2008,"ADD_MONTHS(12-Jul-2008, 120 )",Light,36
1001280733,5621987608,11-Mar-1971,"ADD_MONTHS(11-Mar-1971, 120 )",Light,4
1155841956,9646865054,14-Feb-2010,"ADD_MONTHS(14-Feb-2010, 120 )",Light,76
0018558070,2278928783,08-May-1983,"ADD_MONTHS(08-May-1983, 120 )",Medium,19
0985379014,4432811641,29-Mar-1996,"ADD_MONTHS(29-Mar-1996, 120 )",Light,88
8610353907,9583244074,08-May-2000,"ADD_MONTHS(08-May-2000, 120 )",Motor Cycle,23
4744238971,8700244163,16-Feb-1975,"ADD_MONTHS(16-Feb-1975, 120 )",Heavy,50
9328233062,6251736070,06-Apr-1977,"ADD_MONTHS(06-Apr-1977, 120 )",Motor Cycle,7
3816615260,1592017282,17-Jan-1970,"ADD_MONTHS(17-Jan-1970, 120 )",Motor Cycle,19
0354581953,4491320136,25-Nov-1992,"ADD_MONTHS(25-Nov-1992, 120 )",Motor Cycle,86
2231441969,5614382674,17-Dec-2013,"ADD_MONTHS(17-Dec-2013, 120 )",Motor Cycle,83
5662891443,0833908308,01-Mar-2009,"ADD_MONTHS(01-Mar-2009, 120 )",Heavy,30
8951945936,5896512236,15-Feb-2009,"ADD_MONTHS(15-Feb-2009, 120 )",Heavy,3
2528372515,8491338632,24-Nov-2015,"ADD_MONTHS(24-Nov-2015, 120 )",Motor Cycle,36
1240065566,1811791573,17-Feb-2003,"ADD_MONTHS(17-Feb-2003, 120 )",Heavy,82
2960156439,1694692450,23-Feb-2012,"ADD_MONTHS(23-Feb-2012, 120 )",Motor Cycle,20
4197722230,7593973050,19-Jul-1988,"ADD_MONTHS(19-Jul-1988, 120 )",Motor Cycle,72
3090850214,3552981179,25-Oct-1997,"ADD_MONTHS(25-Oct-1997, 120 )",Motor Cycle,91
2338393597,3244397646,06-Sep-1980,"ADD_MONTHS(06-Sep-1980, 120 )",Heavy,12
5229475730,3972523777,26-Jan-2003,"ADD_MONTHS(26-Jan-2003, 120 )",Motor Cycle,86
4882826771,3194265806,23-Apr-1996,"ADD_MONTHS(23-Apr-1996, 120 )",Light,62
2999933886,3239575086,15-Apr-1999,"ADD_MONTHS(15-Apr-1999, 120 )",Medium,69
8878393630,7100750652,16-Jan-1991,"ADD_MONTHS(16-Jan-1991, 120 )",Motor Cycle,79
0976045915,0018218482,03-Sep-2003,"ADD_MONTHS(03-Sep-2003, 120 )",Medium,75
6450472987,5975481635,03-May-1978,"ADD_MONTHS(03-May-1978, 120 )",Heavy,96
4956846584,2969681668,07-Jul-1997,"ADD_MONTHS(07-Jul-1997, 120 )",Motor Cycle,59
6194247835,3614632407,08-Jan-1993,"ADD_MONTHS(08-Jan-1993, 120 )",Motor Cycle,90
7265763823,2415158208,22-Oct-1994,"ADD_MONTHS(22-Oct-1994, 120 )",Medium,2
8566995643,9703969704,06-Aug-1990,"ADD_MONTHS(06-Aug-1990, 120 )",Medium,95
6026628568,6463305596,10-Aug-2007,"ADD_MONTHS(10-Aug-2007, 120 )",Medium,30
8937569469,4857050455,18-Apr-2012,"ADD_MONTHS(18-Apr-2012, 120 )",Light,18
0908253400,1283639556,15-Feb-1980,"ADD_MONTHS(15-Feb-1980, 120 )",Motor Cycle,56
6742011602,7327772103,23-Aug-1981,"ADD_MONTHS(23-Aug-1981, 120 )",Heavy,94
1936053012,8789724658,23-Jul-1970,"ADD_MONTHS(23-Jul-1970, 120 )",Medium,73
2082200515,1048802159,13-Nov-2015,"ADD_MONTHS(13-Nov-2015, 120 )",Medium,87
5236095034,0138259704,10-May-2011,"ADD_MONTHS(10-May-2011, 120 )",Motor Cycle,83
8694288664,7122678490,26-Nov-1986,"ADD_MONTHS(26-Nov-1986, 120 )",Light,4
6215512060,6702188137,21-Jan-1999,"ADD_MONTHS(21-Jan-1999, 120 )",Heavy,35
8554990781,8300673016,23-Mar-1990,"ADD_MONTHS(23-Mar-1990, 120 )",Heavy,99
5232995103,4441510632,26-Sep-2014,"ADD_MONTHS(26-Sep-2014, 120 )",Light,54
8572535438,0368472256,11-Sep-1990,"ADD_MONTHS(11-Sep-1990, 120 )",Heavy,12
6969605531,5518049757,09-Jul-1998,"ADD_MONTHS(09-Jul-1998, 120 )",Heavy,35
1163851493,3272345485,05-Aug-1993,"ADD_MONTHS(05-Aug-1993, 120 )",Medium,95
7673494019,0305539175,17-Feb-2015,"ADD_MONTHS(17-Feb-2015, 120 )",Medium,1
1650601727,6704896279,02-Aug-2004,"ADD_MONTHS(02-Aug-2004, 120 )",Light,18
9863223190,0425246949,20-Sep-1981,"ADD_MONTHS(20-Sep-1981, 120 )",Light,15
1274949432,6622124981,19-Dec-1971,"ADD_MONTHS(19-Dec-1971, 120 )",Motor Cycle,36
9361091328,0321184238,16-Sep-1995,"ADD_MONTHS(16-Sep-1995, 120 )",Heavy,20
3423827297,6395436244,12-Jan-1995,"ADD_MONTHS(12-Jan-1995, 120 )",Light,45
3022470363,3455497748,18-Aug-1990,"ADD_MONTHS(18-Aug-1990, 120 )",Light,47
0174323301,1776091787,20-May-1990,"ADD_MONTHS(20-May-1990, 120 )",Medium,21
7715119377,4635002543,29-Mar-2008,"ADD_MONTHS(29-Mar-2008, 120 )",Light,51
5633342992,5905574464,14-Jul-1973,"ADD_MONTHS(14-Jul-1973, 120 )",Motor Cycle,76
9481655776,9696561016,31-Jan-2002,"ADD_MONTHS(31-Jan-2002, 120 )",Heavy,99
2561040631,5155094607,01-Aug-1982,"ADD_MONTHS(01-Aug-1982, 120 )",Heavy,84
1674513445,7852926991,01-Jun-2000,"ADD_MONTHS(01-Jun-2000, 120 )",Medium,82
2097989691,7338495319,05-Feb-2012,"ADD_MONTHS(05-Feb-2012, 120 )",Heavy,41
6903908668,9144957564,28-Apr-1995,"ADD_MONTHS(28-Apr-1995, 120 )",Motor Cycle,50
5285291712,2680379853,24-Apr-1983,"ADD_MONTHS(24-Apr-1983, 120 )",Light,54
1171970161,9049354610,19-Dec-1970,"ADD_MONTHS(19-Dec-1970, 120 )",Medium,56
7520627837,0996963596,10-Nov-2017,"ADD_MONTHS(10-Nov-2017, 120 )",Medium,91
4780942969,6298546464,30-Dec-1983,"ADD_MONTHS(30-Dec-1983, 120 )",Light,39
6037003742,9998279518,15-Sep-1997,"ADD_MONTHS(15-Sep-1997, 120 )",Medium,4
4179316986,8298759214,27-Oct-2016,"ADD_MONTHS(27-Oct-2016, 120 )",Light,70
1105121631,6475608750,24-Apr-1995,"ADD_MONTHS(24-Apr-1995, 120 )",Motor Cycle,90
7988961632,2102444171,20-Feb-1986,"ADD_MONTHS(20-Feb-1986, 120 )",Light,18
5902370329,4716998002,18-Apr-1991,"ADD_MONTHS(18-Apr-1991, 120 )",Light,91
3139386478,4150171599,17-Oct-1986,"ADD_MONTHS(17-Oct-1986, 120 )",Motor Cycle,49
0925923060,2290027243,19-Jan-2010,"ADD_MONTHS(19-Jan-2010, 120 )",Heavy,34
8898361548,5093207268,21-Aug-2011,"ADD_MONTHS(21-Aug-2011, 120 )",Medium,37
9455871750,5073537238,24-Jul-1987,"ADD_MONTHS(24-Jul-1987, 120 )",Medium,31
2470042569,8906161867,04-Jan-1995,"ADD_MONTHS(04-Jan-1995, 120 )",Motor Cycle,43
2254677381,6387746515,02-Dec-1975,"ADD_MONTHS(02-Dec-1975, 120 )",Motor Cycle,46
0480482713,0832191833,11-Mar-1973,"ADD_MONTHS(11-Mar-1973, 120 )",Motor Cycle,43
0766799875,1456342894,22-Dec-2011,"ADD_MONTHS(22-Dec-2011, 120 )",Medium,65
6145825391,2277227374,03-Feb-2001,"ADD_MONTHS(03-Feb-2001, 120 )",Heavy,66
0780349903,4951983931,15-Oct-1998,"ADD_MONTHS(15-Oct-1998, 120 )",Medium,88
0475557093,8314693863,02-Aug-1993,"ADD_MONTHS(02-Aug-1993, 120 )",Light,97
3096421188,8904029066,06-Jan-1977,"ADD_MONTHS(06-Jan-1977, 120 )",Light,8
4338037385,7212516473,06-Jun-2017,"ADD_MONTHS(06-Jun-2017, 120 )",Motor Cycle,75
2799634451,1195760485,17-Jan-2012,"ADD_MONTHS(17-Jan-2012, 120 )",Medium,13
0022386157,7899192951,22-Aug-2010,"ADD_MONTHS(22-Aug-2010, 120 )",Heavy,7
8779159044,2958508552,15-Nov-2006,"ADD_MONTHS(15-Nov-2006, 120 )",Light,59
3559612314,6899238934,14-Aug-1999,"ADD_MONTHS(14-Aug-1999, 120 )",Light,61
1534658890,5834202624,27-Feb-1976,"ADD_MONTHS(27-Feb-1976, 120 )",Heavy,58
9416039292,5947712660,04-Apr-2015,"ADD_MONTHS(04-Apr-2015, 120 )",Motor Cycle,26
6914159513,5026935729,31-Oct-1975,"ADD_MONTHS(31-Oct-1975, 120 )",Motor Cycle,43
2646574940,7178845260,19-Apr-2014,"ADD_MONTHS(19-Apr-2014, 120 )",Medium,20
4842526157,9861376534,12-Jul-1974,"ADD_MONTHS(12-Jul-1974, 120 )",Light,77
1996654748,4845715104,12-Dec-1997,"ADD_MONTHS(12-Dec-1997, 120 )",Light,22
8984184292,9479167867,16-Dec-1985,"ADD_MONTHS(16-Dec-1985, 120 )",Medium,51
9059384229,1388152800,12-Mar-1981,"ADD_MONTHS(12-Mar-1981, 120 )",Light,51
9730895112,2279107538,28-Feb-2016,"ADD_MONTHS(28-Feb-2016, 120 )",Medium,61
2827386240,6922193717,12-Jan-1983,"ADD_MONTHS(12-Jan-1983, 120 )",Light,12
7071784841,9969438948,07-Oct-1973,"ADD_MONTHS(07-Oct-1973, 120 )",Light,74
3498653024,1991567065,28-Dec-2006,"ADD_MONTHS(28-Dec-2006, 120 )",Light,10
4057205152,1733567291,03-Sep-1979,"ADD_MONTHS(03-Sep-1979, 120 )",Heavy,58
0004486315,2223147429,29-Jul-2003,"ADD_MONTHS(29-Jul-2003, 120 )",Motor Cycle,1
2626730947,8882724654,25-Sep-2007,"ADD_MONTHS(25-Sep-2007, 120 )",Motor Cycle,97
7550810702,0219412871,22-Dec-1999,"ADD_MONTHS(22-Dec-1999, 120 )",Motor Cycle,30
3349796907,2296919499,26-Mar-2012,"ADD_MONTHS(26-Mar-2012, 120 )",Heavy,76
6113256405,8426826210,07-Jun-1987,"ADD_MONTHS(07-Jun-1987, 120 )",Heavy,83
5190007022,3615598075,26-Sep-1989,"ADD_MONTHS(26-Sep-1989, 120 )",Light,23
0549969187,0767063058,10-Dec-2010,"ADD_MONTHS(10-Dec-2010, 120 )",Heavy,86
4835824261,7556198618,20-Dec-1978,"ADD_MONTHS(20-Dec-1978, 120 )",Light,48
9246181654,2461914931,02-May-2001,"ADD_MONTHS(02-May-2001, 120 )",Motor Cycle,47
9089923667,9038152159,05-Jun-1994,"ADD_MONTHS(05-Jun-1994, 120 )",Heavy,78
3978802805,1235599167,17-Aug-2013,"ADD_MONTHS(17-Aug-2013, 120 )",Heavy,98
2379200459,6903556265,14-Nov-1970,"ADD_MONTHS(14-Nov-1970, 120 )",Motor Cycle,24
4980412270,5833403367,10-Oct-1999,"ADD_MONTHS(10-Oct-1999, 120 )",Heavy,71
3704664375,2005914819,21-Jul-1997,"ADD_MONTHS(21-Jul-1997, 120 )",Medium,52
1130242714,6107054898,10-Feb-1987,"ADD_MONTHS(10-Feb-1987, 120 )",Medium,64
2647503494,1814680799,09-Aug-1978,"ADD_MONTHS(09-Aug-1978, 120 )",Heavy,35
4665744467,0992437504,24-Feb-1996,"ADD_MONTHS(24-Feb-1996, 120 )",Light,15
9289655488,8546810745,01-Mar-1984,"ADD_MONTHS(01-Mar-1984, 120 )",Medium,28
2902390041,4113072272,01-Dec-2005,"ADD_MONTHS(01-Dec-2005, 120 )",Heavy,39
7242333008,8004701094,07-Jun-1978,"ADD_MONTHS(07-Jun-1978, 120 )",Light,12
1093473738,8628356711,16-Aug-1975,"ADD_MONTHS(16-Aug-1975, 120 )",Heavy,60
3965429922,8119317491,02-Aug-1976,"ADD_MONTHS(02-Aug-1976, 120 )",Medium,10
3162202531,0140294600,17-Oct-1998,"ADD_MONTHS(17-Oct-1998, 120 )",Motor Cycle,29
8086581470,2249466939,03-Apr-1976,"ADD_MONTHS(03-Apr-1976, 120 )",Medium,8
0863804187,2331753482,21-Jun-1970,"ADD_MONTHS(21-Jun-1970, 120 )",Medium,89
0112170366,3176066252,23-Mar-1978,"ADD_MONTHS(23-Mar-1978, 120 )",Medium,59
6856501668,1635787122,31-Dec-1971,"ADD_MONTHS(31-Dec-1971, 120 )",Light,85
7290928067,1914405633,12-Feb-1998,"ADD_MONTHS(12-Feb-1998, 120 )",Heavy,33
9673661707,6206531597,27-Jan-1982,"ADD_MONTHS(27-Jan-1982, 120 )",Motor Cycle,72
7483289031,5523652741,11-Jul-1975,"ADD_MONTHS(11-Jul-1975, 120 )",Motor Cycle,80
3253267571,6240500925,15-Apr-2017,"ADD_MONTHS(15-Apr-2017, 120 )",Light,84
4520194059,8443421886,28-Apr-1994,"ADD_MONTHS(28-Apr-1994, 120 )",Motor Cycle,56
4571999143,0477669247,20-Sep-1978,"ADD_MONTHS(20-Sep-1978, 120 )",Motor Cycle,90
8139176079,2660488258,16-Apr-1999,"ADD_MONTHS(16-Apr-1999, 120 )",Medium,97
5023709361,7307694298,20-Sep-2003,"ADD_MONTHS(20-Sep-2003, 120 )",Motor Cycle,5
8041789153,4171497213,14-Dec-1971,"ADD_MONTHS(14-Dec-1971, 120 )",Light,40
8535619364,7264833976,19-Nov-2010,"ADD_MONTHS(19-Nov-2010, 120 )",Heavy,88
9835635323,5536951718,05-Jul-1999,"ADD_MONTHS(05-Jul-1999, 120 )",Heavy,44
0600312844,0612757528,27-Sep-2004,"ADD_MONTHS(27-Sep-2004, 120 )",Light,87
6600253975,5438755892,24-May-1992,"ADD_MONTHS(24-May-1992, 120 )",Medium,76
0526465573,8642317949,07-Oct-1977,"ADD_MONTHS(07-Oct-1977, 120 )",Light,63
3510202503,1774570912,01-Apr-2005,"ADD_MONTHS(01-Apr-2005, 120 )",Light,61
4739177730,7804143729,04-Apr-1972,"ADD_MONTHS(04-Apr-1972, 120 )",Motor Cycle,39
6187622138,8701054244,06-Apr-2012,"ADD_MONTHS(06-Apr-2012, 120 )",Light,50
9031614904,8733584613,25-Feb-2011,"ADD_MONTHS(25-Feb-2011, 120 )",Motor Cycle,48
5956604506,1551483890,03-Nov-1985,"ADD_MONTHS(03-Nov-1985, 120 )",Medium,84
4976082601,6001860394,05-Sep-1991,"ADD_MONTHS(05-Sep-1991, 120 )",Motor Cycle,27
6970740714,3310153762,10-Mar-1985,"ADD_MONTHS(10-Mar-1985, 120 )",Motor Cycle,12
3457419264,9977782164,31-Aug-2002,"ADD_MONTHS(31-Aug-2002, 120 )",Heavy,4
1253454353,0878037470,03-Apr-1980,"ADD_MONTHS(03-Apr-1980, 120 )",Light,50
8845930599,8714204916,30-May-1994,"ADD_MONTHS(30-May-1994, 120 )",Heavy,84
7277968646,1259546624,11-Jan-1982,"ADD_MONTHS(11-Jan-1982, 120 )",Heavy,69
4137234310,5304581407,17-Nov-2004,"ADD_MONTHS(17-Nov-2004, 120 )",Light,66
3563898839,4637506301,15-Oct-2015,"ADD_MONTHS(15-Oct-2015, 120 )",Light,62
2053660449,2493843266,31-Oct-1972,"ADD_MONTHS(31-Oct-1972, 120 )",Medium,72
0759037205,5912941426,14-Oct-1987,"ADD_MONTHS(14-Oct-1987, 120 )",Medium,97
3811297767,8497895630,11-May-1999,"ADD_MONTHS(11-May-1999, 120 )",Light,50
