Entry_No,Service_ID,License_No,Date,Payment_No,Cost
1049,25,9717006504,26-Mar-1981,49,3127.96
1050,14,9787114012,05-Aug-1993,50,9335.97
1051,25,1018169822,10-Mar-2009,51,3127.96
1052,21,2509360558,22-Oct-1972,52,4356.49
1053,28,4033730141,27-Sep-1983,,5155.01
1054,28,7430981771,30-Mar-1979,54,5155.01
1055,43,4401116917,28-Jan-2013,55,6059.31
1056,22,3767286408,30-Sep-1993,56,797.71
1057,46,8960176532,06-Sep-1972,57,1855.61
1058,39,2999933886,15-Feb-2003,58,4952.23
1059,11,6180597650,07-Jul-2004,59,7352.25
1060,14,4179316986,28-May-2010,,9335.97
1061,20,3499453274,11-Nov-1985,61,1817.76
1062,48,4854818794,03-Aug-2002,62,4944.26
1063,45,1435828631,29-Oct-1973,63,6371.53
1064,36,6026628568,27-Aug-1974,,3094.89
1065,12,2793931144,18-Apr-1983,65,5714.43
1066,13,9630422387,04-Jun-2003,66,3456.70
1067,39,5471358112,18-Oct-2000,67,4952.23
1068,4,6450472987,24-Jan-2012,68,4209.55
1069,12,1670699366,06-Jun-1975,69,5714.43
1070,27,0684069741,07-Jan-2002,,4596.04
1071,28,1435882849,20-Jun-1976,71,5155.01
1072,11,8898361548,12-Apr-1981,72,7352.25
1073,17,2371251445,29-Jun-2015,73,3319.43
1074,37,8708271364,27-Jun-1995,,8324.43
1075,38,9289655488,16-Jun-1989,,1443.06
1076,24,5662891443,15-Dec-1983,76,1745.10
1077,6,3155199954,07-Jun-1997,77,6567.89
1078,36,1706412282,24-Sep-1988,,3094.89
1079,47,3211454594,22-Sep-2016,,8089.71
1080,40,4563630217,04-Jul-1977,80,6237.15
1081,15,7988961632,09-Nov-2014,,3027.34
1082,8,4025546884,04-Sep-1994,82,3075.66
1083,11,4454305927,24-Dec-1984,83,7352.25
1084,10,9909617048,04-Oct-1981,84,4262.54
1085,17,1897465556,05-Oct-1988,85,3319.43
1086,16,3253267571,05-Apr-1984,,6056.38
1087,8,9024438918,24-May-1970,,3075.66
1088,31,5124582413,27-Sep-1998,88,8719.93
1089,41,4126838775,14-May-2002,89,6086.96
1090,16,5082403745,18-Aug-1973,90,6056.38
1091,5,9874371021,28-Aug-1974,91,3396.46
1092,49,9329008089,02-Jul-1983,92,9433.80
1093,9,0018558070,05-Mar-1995,93,6530.28
1094,1,7403696832,20-Jan-2005,,5308.45
1095,9,5660141161,30-Jul-2015,95,6530.28
1096,27,5918259651,13-Dec-1998,,4596.04
1097,11,8521098561,17-Jun-2013,97,7352.25
1098,49,5054563253,06-Dec-1977,98,9433.80
1099,25,7255900240,29-May-2016,99,3127.96
1100,34,2499240563,15-Apr-1990,,7712.69
1101,20,4744238971,18-Nov-1971,101,1817.76
1102,34,3248922869,23-Nov-1971,,7712.69
1103,23,5517155502,09-Jun-2005,103,9379.04
1104,18,6072443508,30-Sep-1975,104,2060.39
1105,45,0584163983,24-May-1994,,6371.53
1106,46,2495118305,28-Nov-2015,106,1855.61
1107,4,8393033632,23-Jun-1975,107,4209.55
1108,16,2385993015,03-Mar-2013,108,6056.38
1109,8,1105121631,14-Sep-1982,109,3075.66
1110,43,5956123206,14-Jan-1972,110,6059.31
1111,48,2946978192,11-Nov-2006,,4944.26
1112,5,9481655776,06-Jun-1997,112,3396.46
1113,34,8501428515,23-Feb-1976,,7712.69
1114,11,1380499151,05-May-1998,,7352.25
1115,42,6244493060,24-Jul-2017,,523.24
1116,34,0560258860,08-Feb-1997,116,7712.69
1117,24,4163767673,28-Jan-2017,117,1745.10
1118,10,0114805946,26-Nov-1971,118,4262.54
1119,22,2827386240,07-Apr-1973,119,797.71
1120,38,8984184292,22-Dec-2013,120,1443.06
1121,41,0155026518,15-Feb-2017,,6086.96
1122,16,0188487476,06-Feb-1980,122,6056.38
1123,44,5648255853,26-Aug-2005,123,9098.64
1124,27,2597889904,22-Nov-1976,124,4596.04
1125,27,8086581470,20-Oct-2000,125,4596.04
1126,31,7798454810,15-Mar-1974,126,8719.93
1127,3,0450400948,12-May-1980,127,4257.09
1128,17,9630422387,04-Feb-1985,128,3319.43
1129,13,9089923667,04-May-1974,129,3456.70
1130,39,7611428896,29-Dec-2002,,4952.23
1131,42,8173574804,11-Jul-2016,131,523.24
1132,12,4060942987,10-Oct-1978,132,5714.43
1133,13,6716901930,26-Jan-1992,133,3456.70
1134,40,2793931144,08-Dec-1972,134,6237.15
1135,47,8054309961,08-Jan-2008,135,8089.71
1136,23,6502654622,21-Dec-1982,136,9379.04
1137,45,4025546884,08-Aug-2006,137,6371.53
1138,25,4466996598,29-Aug-2017,138,3127.96
1139,1,2028930136,05-Apr-1989,139,5308.45
1140,16,4600318064,02-Sep-1984,,6056.38
1141,16,0215599691,15-Jun-1984,,6056.38
1142,18,8554990781,29-May-1986,142,2060.39
1143,37,8060983962,16-Dec-1996,143,8324.43
1144,32,6450472987,04-Jul-2003,,3646.60
1145,37,2178909469,01-Dec-1983,145,8324.43
1146,19,4755964369,13-Jun-1989,146,9401.14
1147,43,1690416629,14-Jul-1999,147,6059.31
1148,37,0184476860,06-Dec-2013,148,8324.43
1149,11,3240448734,13-Nov-1996,149,7352.25
1150,48,8104328883,23-Sep-1982,150,4944.26
1151,33,0985379014,23-Jul-1981,151,7304.01
1152,27,6407829313,06-Aug-2006,152,4596.04
1153,21,2641829320,27-Oct-2000,153,4356.49
1154,30,5258269248,03-Jun-1996,,4845.43
1155,3,4401116917,19-Dec-1992,155,4257.09
1156,25,8572535438,22-Jun-1976,156,3127.96
1157,4,9863223190,15-Jan-1971,157,4209.55
1158,8,4854818794,03-Jun-1977,158,3075.66
1159,10,5513703467,30-May-1982,159,4262.54
1160,35,1163851493,01-Mar-1979,160,2031.42
1161,29,6945886433,17-Apr-1991,161,8680.38
1162,8,3799681035,02-Dec-2004,162,3075.66
1163,50,4073844679,08-Dec-1985,163,6722.08
1164,47,3677393728,06-Dec-2004,164,8089.71
1165,4,8351228397,21-Mar-2007,,4209.55
1166,1,8451230075,20-Sep-2016,166,5308.45
1167,23,3667441673,07-May-1996,167,9379.04
1168,38,4328599267,01-Mar-2011,168,1443.06
1169,13,9329008089,04-Mar-1997,,3456.70
1170,9,0584163983,23-Jul-1988,170,6530.28
1171,41,5618592258,25-Oct-1993,,6086.96
1172,38,5404855711,16-Nov-1971,172,1443.06
1173,34,0247298131,29-Jul-1991,173,7712.69
1174,1,7825904745,06-Oct-2016,174,5308.45
1175,26,9787114012,24-Mar-2016,175,7031.99
1176,13,8228812566,28-Jun-1975,176,3456.70
1177,8,7009554730,07-Mar-1998,177,3075.66
1178,10,9517792867,13-Nov-2012,,4262.54
1179,34,4744238971,29-Apr-1995,179,7712.69
1180,20,3041424002,11-Sep-2006,,1817.76
1181,21,2158581425,18-May-1971,,4356.49
1182,7,9619091310,08-Oct-1984,182,5045.14
1183,24,0451900405,15-Mar-1992,183,1745.10
1184,16,4520194059,30-Aug-2015,184,6056.38
1185,37,9151749769,26-Oct-1998,,8324.43
1186,23,6600253975,14-Mar-1993,186,9379.04
1187,10,4458379445,23-Oct-1972,187,4262.54
1188,49,1776508157,31-Dec-1986,188,9433.80
1189,34,9006754617,26-Oct-2009,,7712.69
1190,50,8237486250,27-Sep-2004,190,6722.08
1191,39,8856316277,10-Sep-1995,,4952.23
1192,33,1951249143,16-Mar-2016,192,7304.01
1193,36,5684605540,05-Jan-1994,,3094.89
1194,24,0596121458,13-Apr-1997,194,1745.10
1195,34,8351228397,30-Nov-1977,195,7712.69
1196,40,3237896896,05-Jul-2013,196,6237.15
1197,39,2205901524,20-Aug-1997,197,4952.23
1198,16,2364668077,12-Oct-1977,198,6056.38
1199,11,6738479484,10-Mar-1972,,7352.25
1200,28,6568590460,09-Jan-1980,200,5155.01
